Time,CH1,CH2
0.002760,0.2441,-0.0362
0.002770,0.3277,-0.0362
0.002780,0.5949,-0.0362
0.002790,0.1105,-0.0362
0.002800,0.6450,-0.0362
0.002810,0.2775,-0.0362
0.002820,0.2943,-0.0195
0.002830,0.6116,-0.0529
0.002840,0.1105,-0.0195
0.002850,0.6116,-0.0362
0.002860,0.3110,-0.0362
0.002870,0.2441,-0.0195
0.002880,0.6450,-0.0529
0.002890,0.1105,-0.0195
0.002900,0.5615,-0.0195
0.002910,0.3611,-0.0529
0.002920,0.2107,-0.0362
0.002930,0.6617,-0.0529
0.002940,0.1439,-0.0195
0.002950,0.5448,-0.0195
0.002960,0.3945,-0.0529
0.002970,0.2107,-0.0362
0.002980,0.6951,-0.0529
0.002990,0.1606,-0.0195
0.003000,0.4947,-0.0195
0.003010,0.4279,-0.0529
0.003020,0.1773,-0.0362
0.003030,0.6951,-0.0362
0.003040,0.1606,-0.0362
0.003050,0.4613,-0.0195
0.003060,0.4613,-0.0529
0.003070,0.1606,-0.0362
0.003080,0.6951,-0.0529
0.003090,0.1940,-0.0195
0.003100,0.4112,-0.0195
0.003110,0.5114,-0.0529
0.003120,0.1606,-0.0362
0.003130,0.6617,-0.0529
0.003140,0.2107,-0.0195
0.003150,0.3778,-0.0362
0.003160,0.5448,-0.0362
0.003170,0.1439,-0.0362
0.003180,0.6617,-0.0529
0.003190,0.2441,-0.0195
0.003200,0.3277,-0.0195
0.003210,0.5949,-0.0529
0.003220,0.1439,-0.0195
0.003230,0.6283,-0.0529
0.003240,0.2775,-0.0195
0.003250,0.2943,-0.0362
0.003260,0.6116,-0.0362
0.003270,0.1105,-0.0362
0.003280,0.6116,-0.0362
0.003290,0.3110,-0.0362
0.003300,0.2608,-0.0195
0.003310,0.6450,-0.0529
0.003320,0.1105,-0.0195
0.003330,0.5615,-0.0195
0.003340,0.3611,-0.0529
0.003350,0.2107,-0.0362
0.003360,0.6617,-0.0529
0.003370,0.1439,-0.0195
0.003380,0.5448,-0.0362
0.003390,0.3945,-0.0362
0.003400,0.2107,-0.0362
0.003410,0.6617,-0.0529
0.003420,0.1606,-0.0195
0.003430,0.4947,-0.0195
0.003440,0.4279,-0.0529
0.003450,0.1773,-0.0362
0.003460,0.6617,-0.0529
0.003470,0.1773,-0.0195
0.003480,0.4613,-0.0195
0.003490,0.4613,-0.0529
0.003500,0.1773,-0.0362
0.003510,0.6784,-0.0529
0.003520,0.1940,-0.0195
0.003530,0.4112,-0.0195
0.003540,0.5114,-0.0529
0.003550,0.1439,-0.0362
0.003560,0.6784,-0.0362
0.003570,0.2107,-0.0362
0.003580,0.3778,-0.0195
0.003590,0.5281,-0.0529
0.003600,0.1105,-0.0362
0.003610,0.6617,-0.0362
0.003620,0.2441,-0.0362
0.003630,0.3277,-0.0195
0.003640,0.5949,-0.0529
0.003650,0.1105,-0.0195
0.003660,0.6283,-0.0362
0.003670,0.2775,-0.0362
0.003680,0.2775,-0.0195
0.003690,0.6116,-0.0529
0.003700,0.1105,-0.0195
0.003710,0.6116,-0.0362
0.003720,0.3110,-0.0362
0.003730,0.2608,-0.0195
0.003740,0.6450,-0.0529
0.003750,0.1105,-0.0195
0.003760,0.5615,-0.0195
0.003770,0.3778,-0.0529
0.003780,0.2274,-0.0362
0.003790,0.6617,-0.0529
0.003800,0.1439,-0.0195
0.003810,0.5114,-0.0362
0.003820,0.4112,-0.0362
0.003830,0.2107,-0.0362
0.003840,0.6784,-0.0529
0.003850,0.1606,-0.0195
